review,BUL,IT,HR,PM,lead,dong_nghiep,luong_thuong,CSVC,tang_ca,nghi_phep,thoi_viec,bao_hiem,ho_tro_#,cong_viec,dao_tao
PM và đồng nghiệp có gương mặt giải trí vl,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"được hưởng đầy đủ chính sách công ty, lương thưởng cao...",0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
"Văn hóa giai cấp nổi trội, nói chung ai thẳng tính bình đẳng k làm được ở team này, né nha các bạn, khuyên chân thành là né cái team này ra =))))",0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BUL dễ gần nhưng anh em yêu cầu một số vấn đề thì thỉnh thoảng không nhận được sự phê duyệt hỗ trợ,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xin tăng lương mấy lần rồi mà không thấy approve! chán quá nên nghỉ mẹ nó cho lành,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Hầu như công việc không phải OT, chỉ lâu lâu có 1 số việc hỗ trợ ngoài giờ nhưng sẽ được tính vào để tăng KPI",0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0
"-Training-on-job cho fresher còn kém, ít được hướng dẫn.- Cần quan tâm nhiều hơn tới nhân viên.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
"hợp đồng bảo hiểm chưa rõ ràng, xử lý chậm chạp",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"lương thưởng ở đây cao đấy, chỉ đúng nếu bạn là senior thôi nhé nhưng áp lực cũng đếch có vừa đâu",0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Dịch vụ chăm sóc khách hàng ở đây khá tốt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
"BUL làm việc có trách nhiệm, luôn lắng nghe và hi sinh cho các anh em khác",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tính chuyên nghiệp trong công việc rất cao và luôn đề cao tập thể, tôi đã học hỏi được rất nhiều thứ hay ho và bổ ích từ các chương trình training như mentor-mentee tại Fsoft",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
"Fsoft nó lấp liếm tiền tham gia dự án với thặng dư thành tiền thưởng tết. Trong khi thưởng dự án 6 tháng 1 lần, thặng dư cứ hoàn thành dự án là được lãnh. Ở Fshit này 1 năm đón tết hơi nhiều.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
các hỗ trợ từ công đoàn khá tốt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
"Admin và HR dễ thương, tận tình giúp đỡ mọi người",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Chế độ quản lý và chính sách khen thưởng - hỗ trợ của công ty tạm được,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0
"- Chế độ OT rõ ràng. - Đồng nghiệp đa số đều thân thiện. - phê duyệt đơn nghỉ phép đầy đủ hàng tháng, mặc dù quy trình xét duyệt hơi rườm rà.",0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
Mức lương khá thấp so với mặt bằng chung so với các công ty khác. Chế độ đãi ngộ chưa được tốt.,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
"xin wfh, work from home (làm việc ở nhà) khá dễ dàng",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
PM thân thiện,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR ăn nói thô lỗ vl,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Làm việc ở Fsoft nhiều BU không phụ thuộc giờ giấc, chế độ có lương tháng 13 nhưng méo có thưởng tết",0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
BU lead làm việc vô trách nhiệm,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lương ko cao lắm nếu so với mặt bằng chung, tăng lương chậm . Dự án OT hơi nhiều, cần phải cải thiện thêm về việc estimate time trong công việc",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
"Thấy ở đây chả có gì ngoài lực lượng chuyên viên quảng cáo, tiếp thị hùng hậu, sẵn sàng chửi bới đâm chém khi cần thiết",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"cơ sở hạ tầng tốt, tinh thần thoải mái, quy trình công việc chuẩn - rõ ràng nhưng làm việc chưa hiệu quả",0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0
"công ty này view thì xấu hết chỗ chê rồi. Mấy con mụ già ở đây đông đấy, làm phần mềm mà gặp toàn mấy con chỉ nghe lời sếp đéo có ra trò trống gì, git, cicd, api còn chưa biết. được biết mỗi tiếng Nhật là thôi Nhiều thằng già ý làm lâu thì hóng hách, không giỏi con cặc gì tỏ ra hay. điển hình dự án TAP có thằng Hiền với thằng Thu- 2 con chó này quá sức ảo tưởng.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cần cải thiện lương cho sinh viên thực tập,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
canteen nấu quá dở,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OT thứ 7 chỉ được tính 150% thay vì 200% như thường lệ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
phải đặt lợi ích tập thể lên trên cái tôi cá nhân! nghe riết chán bỏ mịa rồi mấy thằng lồn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
đồ ăn dở và bẩn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"thỉnh thoảng có mấy tháng lương sẽ chậm 2-3 ngày nhưng cơ bản là nhận được đầy đủ, mặc dù hơi thấp nhưng có còn hơn không",0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"đồng nghiệp toàn xinh trai, đẹp gái, mlem",0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vấn đề đóng thuế khi trả lương chưa hợp lý, việc di chuyển đến office rất mất thời gian ảnh hưởng công việc và thật sự mệt mỏi",0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
bạn có thể bị bán hoặc gạch tên khỏi dự án bất cứ lúc nào trong khi dự án vẫn include nhưng ông ở đâu đâu và chưa làm cái mẹ gì 🙃 nói cách khác bạn hết giá trị r bán đi để lấy tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
OT gần như đã trở thành văn hóa của FPT và OT được trả lương đầy đủ nha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
đồng nghiệp vui vẻ và hài hước. lương tạm nuôi đủ vợ con,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"mấy em HR phòng FWA nhìn xinh gái, ngon vãi lêz, mà chắc tuyển vô để trưng hoặc làm đồ chơi khi ký hợp đồng hoặc sau giờ hành chính cho mấy thằng sếp",2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bảo hiểm chưa tốt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Cần có BUL chất lượng hơn,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
team leader tạo điều kiện cho mọi nhân viên thể hiện bản thân,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
"Môi trường trẻ trung, vui vẻ, mọi người giúp đỡ lẫn nhau. có hỗ trợ bus và gửi xe máy",0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
"Được làm việc với nhiều khách hàng lớn, mở mang cơ hội giao tiếp cũng như onsite nước ngoài. Công ty cũng có rất nhiều khóa học để nâng cao trình độ chuyên môn cũng như kĩ năng mềm cho bản thân. Đồng nghiệp và quản lý đều rất hòa đồng, coi nhau như anh em. Công ty không khuyến khích OT. Nếu bắt buộc thì vẫn được trả công OT theo quy định - Môi trường làm việc tuy trẻ nhưng chưa năng động, khuyến khích sáng tạo. Vì làm mảng outsource nên mặc dù cty không khuyến khích nhưng hay bị khách hàng ép tiến độ dẫn đến phải OT.",0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,5.0
"Được tính lương + nghỉ bù, được hỗ trợ cơm (tùy quỹ dự án) và các công tác phí khác",0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0
"Người giỏi thì làm gì cũng dễ, lương chắc chắn cao",0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bơm CV nhân viên không có hoặc có ít kinh nghiệm rồi rao bán như nhân viên có kinh nghiệm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Có lương OT, OT nhiều ít hên xui thì tuỳ dự án. Chung quy cũng tạm ổn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
"Các PM nên quan tâm, xem trọng đến con người hơn là chỉ nghĩ về công việc",0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"team lead khá vui tính, thoải mái và trách nhiệm",0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Văn phòng đẹp. Có cơ hội đi onsite để trau dồi chuyên môn. Thích hợp cho sinh viên mới ra trường,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
"tuy là nhà ở xa công ty rất nhiều nhưng có xe đưa rước nhân viên. Ngoài ra, có nhiều chương trình và khóa học thiết thực cho nhân viên tham gia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
"không gian tốt, thoáng mát, sanh xạch nhưng môi trường làm việc chưa được chuyên nghiệp",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
"Vì là intern nên k được cấp máy móc gì cả, k được làm dự án thật và quá trình training cũng k có gì đặc biệt hay khó khăn, hằng ngày phải dành 1h cho english time",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
các chương trình data của fsoft gần đây rất được chú trọng nhưng các khoản thưởng cho các chứng chỉ như cloud rất ít được quan tâm. Tuy nhiên tôi rất đánh giá cao các chương trình chất lượng này!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
"Văn phòng đẹp, hiện đại. Môi trường năng động chuyên nghiệp. OT có lương, chế độ đầy đủ. OT lương cao theo luật. Có nhiều cơ hội phát triển bản thân. Có cơ hội học hỏi khá nhiều công nghệ mới. Bãi đậu xe rộng rãi, có thể đi trễ so với thời gian quy định Văn hóa fpt tốt, đồng nghiệp vui vẻ, môi trường tốt, làm việc thoải mái. Các anh team lead hòa đồng thân thiện - Chưa có job path rõ ràng cho nhân viên Văn hóa làm việc/ môi trường làm việc tùy thuộc vào dự án, nếu join đc dự án tốt thì khả năng thăng tiến cao, còn nếu không thì ngược lại OT quá nhiều. Tuy nhiên là đánh giá chủ quan của mình vì tùy theo dự án mà mức độ OT khác nhau.",0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0
"BUL khá hay tấu hài trong giờ làm, tăng độ giải trí trong công việc vl",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
"Nên có PM chất lượng hơn, đừng để ai cũng có thể lên làm PM trong khi họ không đủ năng lực quản lý",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Văn phòng đẹp, rộng rãi, mặc dù cách xa trung tâm thành phố và nơi ở nhưng có xe đưa rước rất tiện lợi.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
"có hỗ trợ tiền ăn trưa và đi lại, tuy nhiên hơi ép giờ làm việc",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0
mấy giấy tờ bảo hiểm được xử lý rất rõ ràng và khá nhanh chóng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"Trang thiết bị cho người mới vào không tốt, (vd: Màn hình vuông, code IOS lại cho macmini ổ HDD không chạy nổi IDE -vấn đề này có vẻ đã được giải quyết vì giờ FPT mua mac 2018 rồi) - Tuyển fresher cho dự án nhiều, thay máu liên tục - Lương thấp. Học hỏi được nhiều, nhất là cho các bạn mới ra trường (bạn cũng phải chủ động tìm hiểu các công nghệ mới) - Tạo cơ hội thi chứng chỉ ( pass được hoàn tiền, fail mất 50% ) Tính tiền OT cho nhân viên đầy đủ, có ngày nghỉ bù",0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0
lương hơi thấp nhưng cũng có lúc rất rảnh và rất bận,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
"BUL khá vui tính, thoải mái và trách nhiệm",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"có cơ hội đi onsite EU, E.U, hoặc US và japan. ước mơ từ lâu của tôi",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Fsoft vừa thông báo đã liên kết với Vinfast hỗ trợ mua xe hơi trả góp 0% lãi suất 3 năm đầu cho nhân viên Fsoft đó mọi người. A e lương 15tr khả năng là mỗi người sắm 1 con Fadil đi làm là chuẩn.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
"Việc đồng nghiệp và PM/lead có “khó ưa” hay ko thì cũng tuỳ tính cách mỗi người và văn hoá từng team chứ ko thể đánh đồng tất cả. May mắn là team mình rất dễ thương, technical lead quan tâm mọi người và hay chỉ dạy nhiều thứ. Một số vấn đề khiến chúng ta cảm thấy khó gần với PM đc thì chắc đa số dev đã trải qua, có đôi lúc cũng giận nhưng bình tĩnh nghĩ lại thì đó là công việc của họ (mình nghĩ vậy) nên khách quan mà nói mình vẫn thấy PM của mình tốt.",0.0,0.0,0.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Thích hợp cho sinh viên mới ra trường cần học hỏi và không care về lương,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
mạng mẽo wifi không ra gì còn đồng nghiệp hãm lz hay phát cơm tró nữa,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"711 có nhiều món ăn đa dạng, từ đồ hộp đến các món fast-food cũng rất ngon",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"bãi đậu xe rộng, căn teen mấy cái, giá cả phải chăng nữa. Lương luôn trả đúng thời gian!. Do lúc đó là sinh viên năm 3 nên con ít kinh nghiệm đi làm nhưng với mình môi trường làm việc như vậy là ổn",0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
"Đôi khi có dự án thì OT khá nhiều, và thỉnh thoảng không có lương cho OT hoặc có mà lương OT rất thấp",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
" phân công công việc chưa rõ ràng, nhân viên khi vào có thể ở không nguyên 1 năm",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
"Quy trình làm việc khá khó tiếp cận với những người mới vào. Công ty ở vị trí xa ngoài thành phố, di chuyển đi làm khá xa mặc dù đã có bus đi lại.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
Văn hóa cty chia bè phái. IT làm việc mất thời gian. Lên lương khá chậm. Ít có các buổi chia sẻ về kĩ thuật chuyên môn.,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
"Môi trường trẻ trung, năng động, cảm giác thân thiết như ace một nhà, môi trường rộng rãi",0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Lương khá bèo nhèo với người mới ra trường (lương tăng chậm). Nội quy kiểu kỷ luật là sức mạnh. Đi làm trễ sẽ bị trừ lương hàng tháng rất nặng và có thể bị cho thôi việc,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
